ticker_name,ticker_url,ticker_exchange_name,ticker_exchange_tokenbalance,ticker_exchange_value,ticker_exchange_selection1,ticker_exchange_sevendaychange,ticker_exchange_threedaychange
5 USDC,https://www.coincarp.com/currencies/usdc/,Remitano,"474,555 USDC","$474,128 ",-212.81 USDC,"+17,381.11 USDC","+231,298 USDC"
5 USDC,https://www.coincarp.com/currencies/usdc/,WOO X,"428,220 USDC","$427,835 ","-946,878 USDC","-946,878 USDC",--
5 USDC,https://www.coincarp.com/currencies/usdc/,ProBit Global,"423,480 USDC","$423,099 ",-69.72 USDC,"+2,488.78 USDC","-485,225 USDC"
5 USDC,https://www.coincarp.com/currencies/usdc/,Korbit,"337,718 USDC","$337,414 ","-5,861.76 USDC","+38,440.66 USDC","-55,010.81 USDC"
5 USDC,https://www.coincarp.com/currencies/usdc/,gate.io,"290,740 USDC","$290,479 ","+8,727.51 USDC","+16,077.72 USDC","-37,355,492 USDC"
5 USDC,https://www.coincarp.com/currencies/usdc/,Hotbit,"177,940 USDC","$177,780 ",-241.01 USDC,"-12,056.07 USDC","-15,886.48 USDC"
5 USDC,https://www.coincarp.com/currencies/usdc/,HitBTC,"172,267 USDC","$172,112 ",0 USDC,"+4,130 USDC","+4,130 USDC"
6 XRP,https://www.coincarp.com/currencies/ripple/,Binance,"103,976,086 XRP","$54,670,626 ","-12,133.07 XRP","-281,328 XRP","+4,936,652 XRP"
6 XRP,https://www.coincarp.com/currencies/ripple/,gate.io,"7,877.06 XRP","$4,141.75 ",0 XRP,XRP,XRP
7 ADA,https://www.coincarp.com/currencies/cardano/,Binance,"30,189,916 ADA","$13,268,468 ","+1,710,251 ADA","+1,785,747 ADA","+5,466,985 ADA"
7 ADA,https://www.coincarp.com/currencies/cardano/,gate.io,"8,735.65 ADA","$3,839.31 ",0 ADA,ADA,-115.11 ADA
8 DOGE,https://www.coincarp.com/currencies/dogecoin/,Binance,"133,568,520 DOGE","$11,875,042 ","+5,092,450 DOGE","+24,963,809 DOGE","+54,837,678 DOGE"
8 DOGE,https://www.coincarp.com/currencies/dogecoin/,MEXC Global,"4,284,116 DOGE","$380,883 ","+1,747,592 DOGE","+3,761,339 DOGE","+555,141 DOGE"
8 DOGE,https://www.coincarp.com/currencies/dogecoin/,gate.io,"145,300 DOGE","$12,918.11 ",0 DOGE,"-6,416.64 DOGE","-8,470.87 DOGE"
9 OKB,https://www.coincarp.com/currencies/okb/,OKX(OKEx),"8,114,711 OKB","$387,955,415 ",-662.06 OKB,+718.86 OKB,"+3,600,015 OKB"
