ticker_name,ticker_url,exchange_name,exchange_token_balance (cryptocurrency),exchange_value,selection1 (cryptocurrency),seven_day_change (cryptocurrency),three_day_change (cryptocurrency)
MATIC,https://www.coincarp.com/currencies/matictoken/,AscendEX,260156.0,"$303,134 ",18979.29,24036.61,134937.0
MATIC,https://www.coincarp.com/currencies/matictoken/,Bitget,137104.0,"$159,753 ",18017.27,36663.32,37445.96
MATIC,https://www.coincarp.com/currencies/matictoken/,IDEX,95609.42,"$111,404 ",0.0,0.0,0.0
MATIC,https://www.coincarp.com/currencies/matictoken/,CoinEx,93152.52,"$108,541 ",1093.19,1417.97,22002.24
MATIC,https://www.coincarp.com/currencies/matictoken/,Bitrue,35924.19,"$41,858.87 ",1940.11,-313135.0,30517.92
MATIC,https://www.coincarp.com/currencies/matictoken/,WazirX,26395.85,"$30,756.45 ",-75986.8,-78465.17,-96628.54
MATIC,https://www.coincarp.com/currencies/matictoken/,CEX.IO,24832.41,"$28,934.73 ",-25100.11,-34151.4,-15662.93
MATIC,https://www.coincarp.com/currencies/matictoken/,LATOKEN,10000.0,"$11,652 ",0.0,0.0,0.0
MATIC,https://www.coincarp.com/currencies/matictoken/,WhiteBIT,7405.45,"$8,628.83 ",6017.37,4875.69,2363.51
MATIC,https://www.coincarp.com/currencies/matictoken/,Korbit,6136.1,"$7,149.78 ",0.0,0.0,0.0
SOL,https://www.coincarp.com/currencies/solana/,0,0.0,0,0.0,,
DOT,https://www.coincarp.com/currencies/polkadot100/,Binance,8202856.0,"$55,351,233 ",11107.18,-10335.55,58817.05
DOT,https://www.coincarp.com/currencies/polkadot100/,gate.io,830.81,"$5,606.20 ",0.0,0.0,0.0
LTC,https://www.coincarp.com/currencies/litecoin/,Binance,320685.0,"$30,981,955 ",299.76,325.68,2877.26
LTC,https://www.coincarp.com/currencies/litecoin/,gate.io,50.04,"$4,834.89 ",0.0,0.0,0.0
BUSD,https://www.coincarp.com/currencies/binanceusd/,Binance,6108344515.0,"$6,112,620,356 ",-72847730.0,-1122765042.0,-2228719991.0
BUSD,https://www.coincarp.com/currencies/binanceusd/,Bitget,9298679.0,"$9,305,189 ",1055.21,51049.35,5156312.0
BUSD,https://www.coincarp.com/currencies/binanceusd/,Binance.US,6724680.0,"$6,729,388 ",2337.89,60024.56,-1406847.0
BUSD,https://www.coincarp.com/currencies/binanceusd/,Bybit,3556274.0,"$3,558,764 ",120527.0,227659.0,-782644.0
BUSD,https://www.coincarp.com/currencies/binanceusd/,KuCoin,3372443.0,"$3,374,804 ",115232.0,144538.0,-409153.0
BUSD,https://www.coincarp.com/currencies/binanceusd/,Coinbase Pro,1195528.0,"$1,196,365 ",2877.67,11363.76,19839.65
BUSD,https://www.coincarp.com/currencies/binanceusd/,Crypto.com Exchange,510559.0,"$510,917 ",202.27,460.99,-2805195.0
BUSD,https://www.coincarp.com/currencies/binanceusd/,MEXC Global,373637.0,"$373,898 ",97041.14,22613.6,97087.72
BUSD,https://www.coincarp.com/currencies/binanceusd/,Poloniex,286368.0,"$286,569 ",-10001.71,-8815.64,-11990.81
BUSD,https://www.coincarp.com/currencies/binanceusd/,Gemini,220485.0,"$220,640 ",1812.79,1144.53,-110208.0
